zaman,ivme_x,ivme_y,ivme_z,etiket
1777036005.2911015,-0.10,-0.01,-0.02,1
1777036005.3128743,-0.18,-0.07,-0.01,1
1777036005.3332064,-0.19,-0.04,-0.08,1
1777036005.3547485,-0.01,0.00,-0.17,1
1777036005.3759644,0.12,-0.01,-0.05,1
1777036005.3967905,-0.04,0.00,-0.06,1
1777036005.4183025,-0.15,0.12,-0.06,1
1777036005.4407797,-0.07,0.09,-0.02,1
1777036005.4615738,0.01,0.00,-0.05,1
1777036005.4827156,-0.06,0.01,-0.04,1
1777036005.5038035,-0.33,0.13,-0.06,1
1777036005.5249012,0.08,0.04,-0.08,1
1777036005.5455885,0.24,-0.02,-0.07,1
1777036005.5682518,-0.08,-0.11,-0.04,1
1777036005.5899148,-0.26,0.00,-0.04,1
1777036005.6113937,-0.22,0.08,-0.03,1
1777036005.6323223,-0.07,0.02,-0.09,1
1777036005.6529305,0.10,0.04,-0.08,1
1777036005.6729784,-0.12,-0.02,-0.08,1
1777036005.6940832,-0.25,-0.04,0.00,1
1777036005.7153628,-0.07,0.01,-0.05,1
1777036005.7383802,0.19,0.05,-0.06,1
1777036005.7598035,0.10,0.00,-0.05,1
1777036005.7817101,-0.35,0.03,-0.09,1
1777036005.8023605,-0.22,0.05,-0.02,1
1777036005.8239639,0.31,-0.09,-0.05,1
1777036005.8447142,0.18,-0.02,-0.09,1
1777036005.8667896,-0.43,0.07,-0.05,1
1777036005.886854,-0.33,-0.01,-0.11,1
1777036005.9076319,0.04,0.02,-0.06,1
1777036005.9296675,0.09,-0.03,-0.02,1
1777036005.9507704,-0.21,0.14,-0.05,1
1777036005.9729295,-0.19,0.13,-0.04,1
1777036005.9932468,0.16,0.05,-0.05,1
1777036006.0142086,-0.09,-0.10,-0.09,1
1777036006.035256,-0.28,-0.08,-0.03,1
1777036006.0570095,-0.06,-0.04,0.00,1
1777036006.0774536,-0.07,0.13,-0.04,1
1777036006.0988662,0.03,0.07,-0.06,1
1777036006.121078,0.05,-0.01,-0.04,1
1777036006.1427677,-0.17,0.03,0.00,1
1777036006.1638784,-0.08,-0.01,-0.06,1
1777036006.1844451,0.03,-0.01,-0.08,1
1777036006.2056458,-0.12,0.05,0.00,1
1777036006.226735,-0.20,0.12,-0.03,1
1777036006.2480083,-0.26,0.15,0.03,1
1777036006.2687182,0.00,0.06,-0.07,1
1777036006.2903645,0.07,-0.05,-0.11,1
1777036006.3338914,-0.31,0.10,-0.04,1
