zaman,ivme_x,ivme_y,ivme_z,etiket
1777035828.4270198,-0.01,-0.04,-0.09,0
1777035828.4487557,-0.02,-0.09,-0.08,0
1777035828.4692824,0.00,-0.05,-0.07,0
1777035828.4905748,0.05,-0.02,-0.09,0
1777035828.5128376,0.00,-0.01,-0.07,0
1777035828.5331757,-0.02,-0.05,-0.04,0
1777035828.5541313,0.04,-0.03,-0.06,0
1777035828.575776,0.09,-0.06,-0.08,0
1777035828.5944345,-0.01,0.02,-0.04,0
1777035828.618072,-0.16,-0.03,0.00,0
1777035828.6383586,-0.06,-0.06,-0.02,0
1777035828.6607084,0.04,-0.01,-0.14,0
1777035828.682024,0.24,0.07,-0.11,0
1777035828.7041554,0.14,0.00,-0.05,0
1777035828.7252629,-0.05,0.04,-0.05,0
1777035828.743579,0.06,0.12,-0.21,0
1777035828.76218,0.17,0.00,-0.08,0
1777035828.7881737,0.05,-0.08,-0.10,0
1777035828.8091934,-0.24,-0.04,-0.05,0
1777035828.8285916,-0.06,0.02,-0.11,0
1777035828.8531902,0.01,-0.10,-0.13,0
1777035828.8752325,-0.17,-0.11,-0.06,0
1777035828.8938887,0.03,-0.02,-0.09,0
1777035828.9118469,0.29,-0.03,-0.15,0
1777035828.9374135,0.07,0.00,-0.04,0
1777035828.958968,-0.02,-0.07,-0.07,0
1777035828.9768336,-0.06,-0.10,-0.04,0
1777035829.0028942,-0.03,-0.07,-0.05,0
1777035829.0238981,0.06,-0.04,-0.07,0
1777035829.0431516,0.04,0.03,-0.06,0
1777035829.062055,-0.04,0.01,-0.05,0
1777035829.0871215,-0.15,0.00,-0.05,0
1777035829.1078606,-0.10,-0.06,-0.04,0
1777035829.1261473,0.09,-0.08,-0.07,0
1777035829.1438801,0.16,-0.03,-0.08,0
1777035829.1719294,0.05,-0.05,-0.04,0
1777035829.194041,-0.10,-0.02,-0.05,0
1777035829.215922,-0.04,0.00,-0.07,0
1777035829.237177,0.06,0.00,-0.08,0
1777035829.2577388,0.04,-0.03,0.01,0
1777035829.2787092,-0.13,-0.05,0.01,0
1777035829.2998805,-0.11,-0.10,-0.04,0
1777035829.3203003,0.00,-0.09,-0.16,0
1777035829.3417227,0.20,0.09,-0.09,0
1777035829.3617961,0.23,0.05,-0.12,0
1777035829.3818717,0.02,-0.02,-0.07,0
1777035829.4068239,-0.13,0.00,-0.04,0
1777035829.4261293,-0.06,-0.10,-0.05,0
1777035829.447274,0.06,-0.09,-0.09,0
1777035829.4698658,0.02,-0.07,-0.07,0
1777035829.4870696,0.00,-0.07,-0.03,0
1777035829.5097353,-0.04,-0.02,-0.09,0
1777035829.5320053,0.02,0.01,-0.07,0
1777035829.5540752,0.00,-0.03,-0.05,0
1777035829.5716898,-0.06,0.00,-0.03,0
1777035829.593302,0.04,0.01,-0.04,0
1777035829.6118743,0.04,0.00,-0.03,0
1777035829.6389265,0.08,0.05,-0.08,0
1777035829.6595082,0.00,0.02,-0.06,0
1777035829.6760864,0.02,-0.01,-0.01,0
1777035829.7019806,0.00,-0.03,-0.05,0
1777035829.7239156,0.02,-0.09,-0.09,0
1777035829.7421434,0.08,-0.12,-0.08,0
1777035829.7619731,0.05,-0.08,-0.08,0
1777035829.7891295,-0.01,0.00,-0.04,0
1777035829.8091333,-0.04,-0.01,-0.08,0
1777035829.8261988,-0.03,0.00,-0.03,0
1777035829.851802,-0.08,-0.01,-0.09,0
1777035829.8729067,-0.06,0.01,-0.07,0
1777035829.8938978,-0.05,0.03,-0.10,0
1777035829.911942,-0.06,-0.02,-0.08,0
1777035829.938591,-0.05,-0.05,-0.09,0
1777035829.9585202,0.00,-0.10,-0.08,0
1777035829.9762094,0.00,-0.10,-0.06,0
1777035829.9934702,-0.01,-0.10,-0.02,0
1777035830.0219414,-0.01,-0.08,-0.07,0
1777035830.0428214,0.05,-0.01,-0.02,0
1777035830.0646152,0.05,-0.01,-0.05,0
1777035830.0867407,0.05,-0.02,-0.05,0
1777035830.1072514,0.03,0.00,-0.05,0
1777035830.1262982,0.00,-0.05,-0.06,0
1777035830.154151,-0.01,0.00,-0.06,0
1777035830.1770575,-0.02,-0.03,-0.09,0
1777035830.1970508,-0.06,-0.03,-0.07,0
1777035830.2195966,0.00,-0.01,-0.08,0
1777035830.240724,0.00,0.00,-0.07,0
1777035830.262011,-0.05,-0.01,-0.05,0
1777035830.2819333,-0.13,0.04,-0.03,0
1777035830.3041828,0.05,-0.06,-0.07,0
1777035830.3254433,0.16,-0.17,-0.15,0
1777035830.3434846,0.12,-0.13,-0.15,0
1777035830.368831,0.06,0.00,-0.11,0
1777035830.3901947,-0.05,-0.09,-0.03,0
1777035830.4083672,-0.09,-0.04,-0.05,0
1777035830.4317162,-0.04,0.02,-0.07,0
1777035830.45302,-0.01,0.00,-0.05,0
1777035830.4739468,0.03,-0.02,0.00,0
1777035830.4951885,0.00,-0.03,-0.01,0
1777035830.5118203,-0.04,-0.09,-0.04,0
1777035830.5373838,-0.02,-0.04,0.00,0
